001  00163 |Loss: 1.535 | Acc: 61.503% 
001  00164 |Loss: 1.530 | Acc: 61.547% 
001  00165 |Loss: 1.525 | Acc: 61.629% 
001  00166 |Loss: 1.519 | Acc: 61.691% 
001  00167 |Loss: 1.515 | Acc: 61.677% 
001  00168 |Loss: 1.510 | Acc: 61.775% 
001  00169 |Loss: 1.505 | Acc: 61.853% 
001  00170 |Loss: 1.500 | Acc: 61.893% 
001  00171 |Loss: 1.495 | Acc: 61.952% 
001  00172 |Loss: 1.490 | Acc: 62.046% 
001  00173 |Loss: 1.486 | Acc: 62.085% 
001  00174 |Loss: 1.481 | Acc: 62.177% 
001  00175 |Loss: 1.477 | Acc: 62.232% 
001  00176 |Loss: 1.472 | Acc: 62.305% 
001  00177 |Loss: 1.467 | Acc: 62.394% 
001  00178 |Loss: 1.465 | Acc: 62.377% 
001  00179 |Loss: 1.460 | Acc: 62.500% 
001  00180 |Loss: 1.457 | Acc: 62.500% 
001  00181 |Loss: 1.452 | Acc: 62.586% 
001  00182 |Loss: 1.447 | Acc: 62.637% 
001  00183 |Loss: 1.441 | Acc: 62.756% 
001  00184 |Loss: 1.437 | Acc: 62.857% 
001  00185 |Loss: 1.431 | Acc: 62.939% 
001  00186 |Loss: 1.427 | Acc: 63.021% 
001  00187 |Loss: 1.424 | Acc: 63.035% 
001  00188 |Loss: 1.420 | Acc: 63.115% 
001  00189 |Loss: 1.417 | Acc: 63.095% 
001  00190 |Loss: 1.413 | Acc: 63.125% 
001  00191 |Loss: 1.408 | Acc: 63.302% 
001  00192 |Loss: 1.402 | Acc: 63.444% 
001  00193 |Loss: 1.399 | Acc: 63.504% 
001  00194 |Loss: 1.394 | Acc: 63.611% 
001  00195 |Loss: 1.390 | Acc: 63.702% 
001  00196 |Loss: 1.386 | Acc: 63.728% 
001  00197 |Loss: 1.381 | Acc: 63.832% 
001  00198 |Loss: 1.377 | Acc: 63.873% 
001  00199 |Loss: 1.373 | Acc: 63.960% 
001  00200 |Loss: 1.369 | Acc: 64.047% 
001  00201 |Loss: 1.367 | Acc: 64.086% 
001  00202 |Loss: 1.363 | Acc: 64.140% 
001  00203 |Loss: 1.359 | Acc: 64.178% 
001  00204 |Loss: 1.356 | Acc: 64.216% 
001  00205 |Loss: 1.352 | Acc: 64.299% 
001  00206 |Loss: 1.348 | Acc: 64.351% 
001  00207 |Loss: 1.344 | Acc: 64.417% 
001  00208 |Loss: 1.342 | Acc: 64.408% 
001  00209 |Loss: 1.338 | Acc: 64.489% 
001  00210 |Loss: 1.336 | Acc: 64.539% 
001  00211 |Loss: 1.332 | Acc: 64.618% 
001  00212 |Loss: 1.330 | Acc: 64.593% 
001  00213 |Loss: 1.327 | Acc: 64.657% 
001  00214 |Loss: 1.324 | Acc: 64.661% 
001  00215 |Loss: 1.320 | Acc: 64.724% 
001  00216 |Loss: 1.316 | Acc: 64.800% 
001  00217 |Loss: 1.314 | Acc: 64.790% 
001  00218 |Loss: 1.311 | Acc: 64.908% 
001  00219 |Loss: 1.310 | Acc: 64.912% 
001  00220 |Loss: 1.308 | Acc: 64.858% 
001  00221 |Loss: 1.306 | Acc: 64.847% 
001  00222 |Loss: 1.303 | Acc: 64.865% 
001  00223 |Loss: 1.300 | Acc: 64.966% 
001  00224 |Loss: 1.296 | Acc: 65.053% 
001  00225 |Loss: 1.294 | Acc: 65.083% 
001  00226 |Loss: 1.290 | Acc: 65.183% 
001  00227 |Loss: 1.288 | Acc: 65.226% 
001  00228 |Loss: 1.284 | Acc: 65.269% 
001  00229 |Loss: 1.281 | Acc: 65.338% 
001  00230 |Loss: 1.277 | Acc: 65.394% 
001  00231 |Loss: 1.275 | Acc: 65.422% 
001  00232 |Loss: 1.273 | Acc: 65.450% 
001  00233 |Loss: 1.270 | Acc: 65.464% 
001  00234 |Loss: 1.266 | Acc: 65.572% 
001  00235 |Loss: 1.264 | Acc: 65.545% 
001  00236 |Loss: 1.261 | Acc: 65.599% 
001  00237 |Loss: 1.258 | Acc: 65.704% 
001  00238 |Loss: 1.255 | Acc: 65.796% 
001  00239 |Loss: 1.252 | Acc: 65.834% 
001  00240 |Loss: 1.249 | Acc: 65.833% 
001  00241 |Loss: 1.247 | Acc: 65.871% 
001  00242 |Loss: 1.244 | Acc: 65.883% 
001  00243 |Loss: 1.241 | Acc: 65.959% 
001  00244 |Loss: 1.239 | Acc: 65.984% 
001  00245 |Loss: 1.237 | Acc: 65.969% 
001  00246 |Loss: 1.234 | Acc: 66.044% 
001  00247 |Loss: 1.232 | Acc: 66.043% 
001  00248 |Loss: 1.230 | Acc: 66.066% 
001  00249 |Loss: 1.227 | Acc: 66.114% 
001  00250 |Loss: 1.224 | Acc: 66.175% 
001  00251 |Loss: 1.222 | Acc: 66.260% 
001  00252 |Loss: 1.219 | Acc: 66.282% 
001  00253 |Loss: 1.217 | Acc: 66.341% 
001  00254 |Loss: 1.214 | Acc: 66.412% 
001  00255 |Loss: 1.211 | Acc: 66.495% 
001  00256 |Loss: 1.209 | Acc: 66.528% 
001  00257 |Loss: 1.206 | Acc: 66.561% 
001  00258 |Loss: 1.204 | Acc: 66.546% 
001  00259 |Loss: 1.200 | Acc: 66.663% 
001  00260 |Loss: 1.198 | Acc: 66.683% 
001  00261 |Loss: 1.196 | Acc: 66.739% 
001  00262 |Loss: 1.194 | Acc: 66.746% 
001  00263 |Loss: 1.191 | Acc: 66.849% 
001  00264 |Loss: 1.189 | Acc: 66.903% 
001  00265 |Loss: 1.188 | Acc: 66.875% 
001  00266 |Loss: 1.186 | Acc: 66.906% 
001  00267 |Loss: 1.185 | Acc: 66.901% 
001  00268 |Loss: 1.183 | Acc: 66.908% 
001  00269 |Loss: 1.180 | Acc: 66.973% 
001  00270 |Loss: 1.178 | Acc: 67.037% 
001  00271 |Loss: 1.177 | Acc: 67.032% 
001  00272 |Loss: 1.174 | Acc: 67.096% 
001  00273 |Loss: 1.172 | Acc: 67.125% 
001  00274 |Loss: 1.172 | Acc: 67.153% 
001  00275 |Loss: 1.169 | Acc: 67.205% 
001  00276 |Loss: 1.167 | Acc: 67.289% 
001  00277 |Loss: 1.164 | Acc: 67.329% 
001  00278 |Loss: 1.162 | Acc: 67.367% 
001  00279 |Loss: 1.159 | Acc: 67.417% 
001  00280 |Loss: 1.157 | Acc: 67.444% 
001  00281 |Loss: 1.156 | Acc: 67.449% 
001  00282 |Loss: 1.154 | Acc: 67.476% 
001  00283 |Loss: 1.153 | Acc: 67.491% 
001  00284 |Loss: 1.152 | Acc: 67.507% 
001  00285 |Loss: 1.150 | Acc: 67.533% 
001  00286 |Loss: 1.149 | Acc: 67.526% 
001  00287 |Loss: 1.147 | Acc: 67.563% 
